Institute,Location
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)",Chhattisgarh
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Uttar Pradesh
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Maharashtra
"National Institute of Foundry & Forge Technology, Hatia, Ranchi",Jharkhand
Sant Longowal Institute of Engineering and Technology,Punjab
"Mizoram University, Aizawl",Mizoram
"School of Engineering, Tezpur University, Napaam, Tezpur",Assam
"School of Planning & Architecture, Bhopal",Madhya Pradesh
"School of Planning & Architecture, New Delhi",Delhi
School of Planning & Architecture: Vijayawada,Andhra Pradesh
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Jammu and Kashmir
HNB Garhwal University Srinagar (Garhwal),Jammu and Kashmir
"International Institute of Information Technology, Naya Raipur",Chhattisgarh
University of Hyderabad,Telangana
"Punjab Engineering College, Chandigarh",Punjab
"Jawaharlal Nehru University, Delhi",Delhi
"International Institute of Information Technology, Bhubaneswar",Odisha
"Central institute of Technology Kokrajar, Assam",Assam
"Pondicherry Engineering College, Puducherry",Puducherry
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",West Bengal
"Central University of Rajasthan, Rajasthan",Rajasthan
"National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana",Haryana
"lndian Institute of Food Processing Technology, Thanjavur, Tamil Naidu.",Tamil Nadu
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Arunachal Pradesh
